episode,reward,avg_reward,policy_loss,contrastive_loss,reconstruction_loss,entropy,success,tether_violations,collisions,avg_distance,hyperparams,cumulative_reward,out_of_tether_count,steps_taken,communication_count,timestamp,num_episodes,algorithm
30,5050,50.5,3257.08056640625,3257.08056640625,1.8723020553588867,1.771469885783747e-21,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-995050.0,199,1,1,2025-04-08 14:32:33,50,MAPPO
31,-45450,-454.5,-29487.703125,-29487.703125,1.4996075630187988,8.530531078958499e-38,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-6000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
32,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.172195029811404e-32,False,0,0,1.01,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-5942.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
33,5050,50.5,3261.3037109375,3261.3037109375,2.2458600997924805,8.481211538727508e-38,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-985050.0,198,1,1,2025-04-08 14:32:33,50,MAPPO
34,5050,50.5,3260.969482421875,3260.969482421875,1.873947262763977,-0.0,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-252451.0,99,1,1,2025-04-08 14:32:33,50,MAPPO
35,5050,50.5,3257.08056640625,3257.08056640625,1.8723020553588867,1.7715983249608916e-21,False,0,0,1.97,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-237803.0,96,1,1,2025-04-08 14:32:33,50,MAPPO
36,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.531767584723419e-38,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-10000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
37,5050,50.5,3261.3037109375,3261.3037109375,2.2458600997924805,8.482440757740414e-38,False,0,0,1.01,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-237803.0,96,1,1,2025-04-08 14:32:33,50,MAPPO
38,-45450,-454.5,-29487.615234375,-29487.615234375,1.871702790260315,4.17267845186318e-32,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-985160.0,198,1,1,2025-04-08 14:32:33,50,MAPPO
39,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.531767584723419e-38,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-6000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
